epoch,train_loss,val_loss,val_auroc,elapsed_sec
1,0.8031643629074097,0.543991208076477,0.67125,27.96634006500244
2,0.5770361423492432,0.5224618911743164,0.67875,32.54169821739197
3,0.49616060853004457,0.70332270860672,0.7562500000000001,37.21598410606384
4,0.5719620148340862,0.514858067035675,0.77875,57.27041673660278
5,0.46378371318181355,0.4793725907802582,0.7537499999999999,64.18819332122803
6,0.4173051098982493,0.4913402795791626,0.8225,70.93911933898926
7,0.3682088851928711,0.5467230677604675,0.825,77.65338635444641
8,0.36088430335124333,0.4934491813182831,0.8024999999999999,84.39491963386536
9,0.45207798878351846,0.4365171492099762,0.8325,91.20448207855225
10,0.4383905609448751,0.47812923789024353,0.8187499999999999,97.90145683288574
11,0.3085414777199427,0.3648572564125061,0.88375,120.61335635185242
12,0.27179381052652996,0.4476555585861206,0.8125,132.13393807411194
13,0.2719808161258698,0.44447949528694153,0.87,143.66031432151794
14,0.31511019269625345,0.4212307333946228,0.84625,153.11235332489014
15,0.24895859112342197,0.4904697835445404,0.87875,163.21411037445068
16,0.20348941336075466,0.46300172805786133,0.84375,172.8436417579651
17,0.18320923149585724,0.4355729818344116,0.86625,183.23935389518738
18,0.1457109366854032,0.5451372861862183,0.84625,193.83071422576904
19,0.1082546425362428,0.5535261034965515,0.8300000000000001,203.3567192554474
20,0.11952578102548918,0.49243760108947754,0.86375,213.570405960083
21,0.08970610499382019,0.5929847359657288,0.8674999999999999,222.9681839942932
