epoch,train_loss,val_loss,val_auroc,elapsed_sec
1,0.6274226546287537,0.49520087242126465,0.838521183053557,17.563560485839844
2,0.5245145194232463,0.4619241952896118,0.8604076738609112,34.857470750808716
3,0.5016894667409361,0.5689749121665955,0.8203517186250999,51.79702544212341
4,0.4754512686282396,0.4675605297088623,0.8539248601119105,68.62837171554565
5,0.4613339084200561,0.44737306237220764,0.8662030375699441,85.67820358276367
6,0.43796965908259156,0.48244231939315796,0.8461630695443647,102.55711913108826
7,0.41759746661409736,0.44459134340286255,0.8634132693844923,119.32781052589417
8,0.4043237939476967,0.48103928565979004,0.8539808153477219,136.19474959373474
9,0.3828919244930148,0.516206681728363,0.8261310951239009,152.92105984687805
10,0.3714340329170227,0.5483104586601257,0.8500000000000002,169.85307383537292
11,0.3462860659696162,0.5537901520729065,0.8391127098321343,186.19458317756653
12,0.32071887226775286,0.5487015843391418,0.835259792166267,202.81579113006592
13,0.30630328771658244,0.5276733636856079,0.849912070343725,219.43417382240295
14,0.28715533048380165,0.60726398229599,0.8065147881694644,235.90872263908386
15,0.2678775656502694,0.6127692461013794,0.8252278177458033,252.5253438949585
