epoch,train_loss,val_loss,val_auroc,elapsed_sec
1,1.5350503345330557,0.5390620231628418,0.71,66.6549301147461
2,0.6692731698354085,0.602879524230957,0.6725,77.46746850013733
3,0.6904383718967437,0.7397693395614624,0.6799999999999999,83.8978385925293
4,0.6508176545302073,0.9019026756286621,0.7093749999999999,90.0917694568634
5,0.5521949743231137,0.6138119697570801,0.714375,96.42128467559814
6,0.5588259031375249,0.6753506064414978,0.646875,104.45987367630005
7,0.6002835730711619,0.6601011753082275,0.679375,110.39971995353699
8,0.5176708837350209,0.5950753688812256,0.6625,118.52137303352356
9,0.49346536000569663,0.7071000933647156,0.6575,124.86154794692993
10,0.4915870189666748,0.6115798354148865,0.7324999999999999,130.74596858024597
11,0.47267624735832214,0.6899590492248535,0.6825,136.69441604614258
12,0.4850261966387431,0.5622761249542236,0.708125,142.72922587394714
13,0.48116026918093363,0.4962441325187683,0.7656250000000001,148.82193970680237
14,0.4632354696591695,0.4600186347961426,0.78375,154.76613402366638
15,0.4364634136358897,0.5328984260559082,0.7562500000000001,160.87382769584656
16,0.4451452652613322,0.4733400344848633,0.78875,167.02505230903625
17,0.41950177351633705,0.49420276284217834,0.7625,179.46485543251038
18,0.4198949048916499,0.48956766724586487,0.7975000000000001,188.22872138023376
19,0.45167263050874074,0.4859277009963989,0.815,196.62336897850037
20,0.4440043389797211,0.4775477647781372,0.801875,204.92905378341675
21,0.45734415551026664,0.5980966687202454,0.721875,212.8811445236206
22,0.42441233396530154,0.5271454453468323,0.771875,220.83935379981995
23,0.4517067929108938,0.462421178817749,0.816875,229.0075159072876
24,0.4697901705900828,0.46264007687568665,0.8256249999999999,238.29456162452698
25,0.43999533851941425,0.7600980997085571,0.735625,246.53058648109436
26,0.4986954351266225,0.48160120844841003,0.76625,254.55756640434265
27,0.5317616581916809,0.4716988801956177,0.75875,262.7944085597992
28,0.4597311794757843,0.5062562823295593,0.7781250000000001,270.9108040332794
29,0.4578687926133474,0.47679781913757324,0.791875,279.3523459434509
30,0.4194936156272888,0.4666128158569336,0.821875,287.62518644332886
31,0.40872678756713865,0.45547765493392944,0.8200000000000001,295.71652245521545
32,0.4221263498067856,0.6533157825469971,0.7749999999999999,304.1112608909607
33,0.4042915483315786,0.45552676916122437,0.81125,312.18179631233215
34,0.3826240579287211,0.4737650156021118,0.8025,320.1240904331207
