epoch,train_loss,val_loss,val_auroc,elapsed_sec
1,0.6263549873605371,0.548419177532196,0.7936770583533173,17.158973932266235
2,0.5812712345272303,0.5362620949745178,0.8037010391686651,34.07345700263977
3,0.5589728901162744,0.5407690405845642,0.7805275779376499,50.921207904815674
4,0.5380981235764921,0.5004329681396484,0.8273940847322142,67.74734997749329
5,0.4983899250626564,0.4975570738315582,0.8252677857713829,84.66503286361694
6,0.476706694252789,0.5405831933021545,0.8034692246203037,101.63732194900513
7,0.44689789293333887,0.49621543288230896,0.834308553157474,118.48406767845154
8,0.43404639000073075,0.5555525422096252,0.7976338928856915,136.0331254005432
9,0.3987750692293048,0.5440627336502075,0.8194804156674661,153.0163369178772
10,0.38267765315249563,0.5471734404563904,0.820759392486011,169.93888187408447
11,0.3438479916192591,0.6011940240859985,0.805347721822542,186.77614498138428
12,0.32757805958390235,0.639593243598938,0.8071143085531576,203.74618291854858
13,0.2979115883819759,0.6113498210906982,0.7965787370103916,220.67106795310974
14,0.28056270023807883,0.7171573638916016,0.7923581135091926,237.83585906028748
15,0.24507707627490163,0.8530459403991699,0.7611191047162269,254.72093415260315
16,0.24444388141855597,0.7391414642333984,0.7745483613109512,271.79408144950867
17,0.21563560157082975,0.7247276902198792,0.7764108713029576,288.9448812007904
