epoch,train_loss,val_loss,val_auroc,elapsed_sec
1,0.8782669425010681,0.6391019821166992,0.7280080889787665,15.878297805786133
2,0.6064254760742187,0.5916242599487305,0.7553083923154702,30.57980513572693
3,0.5490297794342041,0.5752657055854797,0.7654196157735086,45.613728046417236
4,0.5168484369913737,0.5652884244918823,0.7927199191102123,49.09613037109375
5,0.4978019913037618,0.5587096214294434,0.827098078867543,52.493791580200195
6,0.46017004251480104,0.567815899848938,0.8301314459049546,55.89236259460449
7,0.4353986958662669,0.5519639849662781,0.8442871587462083,63.03033208847046
8,0.40259818534056346,0.5356297492980957,0.852376137512639,66.42222213745117
9,0.35742127597332,0.523465096950531,0.858442871587462,69.83352708816528
10,0.33123657703399656,0.4435548782348633,0.8594539939332659,73.24814200401306
11,0.2908167769511541,0.5407775044441223,0.8756319514661274,76.67471837997437
12,0.27910467411080997,0.44943490624427795,0.8604651162790697,80.04697608947754
13,0.26439249167839685,0.4501957297325134,0.8685540950455005,83.38857674598694
14,0.24068020979563395,0.46287965774536133,0.8584428715874621,86.78071570396423
15,0.17143076496819656,0.6540441513061523,0.8493427704752275,90.11967206001282
16,0.22295364538828533,0.5413212776184082,0.8442871587462083,93.44907784461975
17,0.17535398602485658,0.5302467346191406,0.8341759352881697,96.85181474685669
18,0.207818707327048,0.5472322702407837,0.8452982810920122,100.232577085495
19,0.16105447250107924,0.5546191334724426,0.8392315470171892,103.60115242004395
20,0.13551818616688252,0.6546650528907776,0.8250758341759353,106.98711609840393
21,0.17233008034527303,0.691723644733429,0.8291203235591507,110.38551187515259
