epoch,train_loss,val_loss,val_auroc,elapsed_sec
1,0.624742062886556,0.5225881934165955,0.79625,0.9881575107574463
2,0.5217147747675578,0.44034719467163086,0.81875,1.3829426765441895
3,0.5255156795183817,0.4518941044807434,0.8424999999999999,1.771146297454834
4,0.47935417493184407,0.4534814953804016,0.83,2.165917158126831
5,0.4551574905713399,0.4301188886165619,0.8362500000000002,2.505939245223999
6,0.40339778661727904,0.4144003391265869,0.8400000000000001,2.8342082500457764
7,0.39957043826580046,0.4266067445278168,0.82125,3.1919682025909424
8,0.3462451010942459,0.4426933825016022,0.84,3.5507688522338867
9,0.30875012079874675,0.4629937410354614,0.825,3.9235024452209473
10,0.27384744584560394,0.4609045088291168,0.835,4.281793117523193
11,0.2604023138682047,0.634073793888092,0.8325,4.667729139328003
12,0.45613296230634054,0.6919363737106323,0.79125,5.03147554397583
13,0.3596358488003413,0.4536072015762329,0.81125,5.425621747970581
