epoch,train_loss,val_loss,val_auroc,elapsed_sec
1,0.7213467063382268,0.5696355104446411,0.7587450039968024,49.05002999305725
2,0.601421882212162,0.5511349439620972,0.7830455635491607,89.23095607757568
3,0.5822214411571622,0.5676683783531189,0.762677857713829,137.25104403495789
4,0.5769435968250036,0.532451868057251,0.7868425259792167,177.9307906627655
5,0.56633403878659,0.5395074486732483,0.7971862509992007,215.3223466873169
6,0.5536171967163682,0.5184049010276794,0.8047082334132694,269.1982934474945
7,0.5475914610549808,0.514004647731781,0.8073621103117505,307.23197984695435
8,0.5317041406407952,0.5404022336006165,0.806730615507594,349.5287284851074
9,0.5242149274796247,0.5527012944221497,0.7723021582733813,389.02810525894165
10,0.5266808956861496,0.5341341495513916,0.8170823341326938,432.2907967567444
11,0.5125166792422533,0.5379717350006104,0.8124780175859313,486.6198978424072
12,0.5103032967075706,0.5316751599311829,0.7987529976019184,531.7054824829102
13,0.4936279928777367,0.5198415517807007,0.8237330135891288,567.4600963592529
14,0.49013764057308434,0.5435214042663574,0.8022541966426859,579.204008102417
15,0.47627521492540836,0.5100563764572144,0.8306794564348521,591.0002608299255
16,0.47311810590326786,0.5090383887290955,0.8318145483613109,602.6451015472412
17,0.4656205827370286,0.4974812865257263,0.8318385291766588,614.3725800514221
18,0.4509455536492169,0.5540757775306702,0.8407673860911271,626.167179107666
19,0.4373119352385402,0.48957350850105286,0.8496722621902477,637.9135587215424
20,0.4294325946830213,0.5312041640281677,0.8303597122302158,649.6940820217133
21,0.41901768250390886,0.5367902517318726,0.8400959232613909,661.4024920463562
22,0.4020556810311973,0.5467596054077148,0.8399520383693044,673.2009465694427
23,0.39968372546136377,0.505214512348175,0.8371223021582734,685.0799005031586
24,0.3897792174480855,0.5230466723442078,0.8488649080735412,696.5970916748047
25,0.3713384001515806,0.5384156703948975,0.8197122302158274,708.3690304756165
26,0.37338708536699416,0.5172759890556335,0.8482573940847322,720.2638082504272
27,0.36056324453093114,0.552080512046814,0.8320143884892086,732.1663134098053
28,0.3513042961247265,0.5049483776092529,0.8380415667466027,744.0514175891876
29,0.3262678533792496,0.5506594181060791,0.8209832134292566,755.9497456550598
